name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;cells
EA.hy926 2018-03-20 02C_01_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;0;15
EA.hy926 2018-03-20 02C_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;0;9
EA.hy926 2018-03-20 02C_03_c2;G;148;^ 1;1;0,3;euclidean;0,05;5;50;148;106;36
EA.hy926 2018-03-20 02D_01_c2;G;40;^ 1;1;0,3;euclidean;0,05;5;50;40;4;40
EA.hy926 2018-03-20 02D_02_c2;G;52;^ 1;1;0,3;euclidean;0,05;5;50;52;9;52
EA.hy926 2018-03-20 02D_03_c2;G;80;^ 1;1;0,3;euclidean;0,05;5;50;80;66;46
EA.hy926 2018-03-20 02E_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-03-20 02E_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;2;2
EA.hy926 2018-03-20 02E_03_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;13;4
EA.hy926 2018-03-20 02F_01_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;32;8
EA.hy926 2018-03-20 02F_02_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;4;29
EA.hy926 2018-03-20 02F_03_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;5;22
EA.hy926 2018-03-20 03C_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;3;4
EA.hy926 2018-03-20 03C_02_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;3;8
EA.hy926 2018-03-20 03C_03_c2;G;146;^ 1;1;0,3;euclidean;0,05;5;50;146;129;4
EA.hy926 2018-03-20 03D_01_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;9;15
EA.hy926 2018-03-20 03D_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-03-20 03D_03_c2;G;49;^ 1;1;0,3;euclidean;0,05;5;50;49;34;17
EA.hy926 2018-03-20 03E_01_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;21;5
EA.hy926 2018-03-20 03E_02_c2;G;116;^ 1;1;0,3;euclidean;0,05;5;50;116;127;7
EA.hy926 2018-03-20 03E_03_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;34;3
EA.hy926 2018-03-20 03F_01_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;6;1
EA.hy926 2018-03-20 03F_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-03-20 03F_03_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;1;1
EA.hy926 2018-03-20 04C_01_c2;G;174;^ 1;1;0,3;euclidean;0,05;5;50;174;114;12
EA.hy926 2018-03-20 04C_02_c2;G;65;^ 1;1;0,3;euclidean;0,05;5;50;65;105;10
EA.hy926 2018-03-20 04C_03_c2;G;155;^ 1;1;0,3;euclidean;0,05;5;50;155;110;6
EA.hy926 2018-03-20 04D_01_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;19;8
EA.hy926 2018-03-20 04D_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;1;9
EA.hy926 2018-03-20 04D_03_c2;G;32;^ 1;1;0,3;euclidean;0,05;5;50;32;22;8
EA.hy926 2018-03-20 04E_01_c2;G;141;^ 1;1;0,3;euclidean;0,05;5;50;141;85;7
EA.hy926 2018-03-20 04E_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;0;5
EA.hy926 2018-03-20 04E_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-03-20 04F_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-03-20 04F_02_c2;G;47;^ 1;1;0,3;euclidean;0,05;5;50;47;27;2
EA.hy926 2018-03-20 04F_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;2;4
EA.hy926 2018-03-20 05C_01_c2;G;32;^ 1;1;0,3;euclidean;0,05;5;50;32;27;20
EA.hy926 2018-03-20 05C_02_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;10;18
EA.hy926 2018-03-20 05C_03_c2;G;86;^ 1;1;0,3;euclidean;0,05;5;50;86;68;12
EA.hy926 2018-03-20 05D_01_c2;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;49;20
EA.hy926 2018-03-20 05D_02_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;2;29
EA.hy926 2018-03-20 05D_03_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;3;15
EA.hy926 2018-03-20 05E_01_c2;G;23;^ 1;1;0,3;euclidean;0,05;5;50;23;3;4
EA.hy926 2018-03-20 05E_02_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;5;9
EA.hy926 2018-03-20 05E_03_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;28;7
EA.hy926 2018-03-20 05F_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;1;1
EA.hy926 2018-03-20 05F_02_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;0
EA.hy926 2018-03-20 05F_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;0
EA.hy926 2018-03-20 06C_01_c2;G;43;^ 1;1;0,3;euclidean;0,05;5;50;43;11;43
EA.hy926 2018-03-20 06C_02_c2;G;36;^ 1;1;0,3;euclidean;0,05;5;50;36;48;3
EA.hy926 2018-03-20 06C_03_c2;G;169;^ 1;1;0,3;euclidean;0,05;5;50;169;166;37
EA.hy926 2018-03-20 06D_01_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;1;7
EA.hy926 2018-03-20 06D_02_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;50;11;2;11
EA.hy926 2018-03-20 06D_03_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;14;14
EA.hy926 2018-03-20 06E_01_c2;G;53;^ 1;1;0,3;euclidean;0,05;5;50;53;89;4
EA.hy926 2018-03-20 06E_02_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;0;5
EA.hy926 2018-03-20 06E_03_c2;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;44;3
EA.hy926 2018-03-20 06F_01_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;6
EA.hy926 2018-03-20 06F_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-03-20 06F_03_c2;G;35;^ 1;1;0,3;euclidean;0,05;5;50;35;30;10
EA.hy926 2018-03-20 07C_01_c2;G;47;^ 1;1;0,3;euclidean;0,05;5;50;47;16;19
EA.hy926 2018-03-20 07C_02_c2;G;184;^ 1;1;0,3;euclidean;0,05;5;50;184;131;9
EA.hy926 2018-03-20 07C_03_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;10;13
EA.hy926 2018-03-20 07D_01_c2;G;28;^ 1;1;0,3;euclidean;0,05;5;50;28;1;28
EA.hy926 2018-03-20 07D_02_c2;G;30;^ 1;1;0,3;euclidean;0,05;5;50;30;3;30
EA.hy926 2018-03-20 07D_03_c2;G;91;^ 1;1;0,3;euclidean;0,05;5;50;91;63;11
EA.hy926 2018-03-20 07E_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;2;8
EA.hy926 2018-03-20 07E_02_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;26;5
EA.hy926 2018-03-20 07E_03_c2;G;66;^ 1;1;0,3;euclidean;0,05;5;50;66;13;24
EA.hy926 2018-03-20 07F_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;22;9
EA.hy926 2018-03-20 07F_02_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;18;5
EA.hy926 2018-03-20 07F_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;1;7
